tcpi_state,tcpi_ca_state,tcpi_retransmits,tcpi_probes,tcpi_backoff,tcpi_options,tcpi_snd_wscale,tcpi_rcv_wscale,tcpi_rto,tcpi_ato,tcpi_snd_mss,tcpi_rcv_mss,tcpi_unacked,tcpi_sacked,tcpi_lost,tcpi_retrans,tcpi_fackets,tcpi_last_data_sent,tcpi_last_ack_sent,tcpi_last_data_recv,tcpi_last_ack_recv,tcpi_pmtu,tcpi_rcv_ssthresh,tcpi_rtt,tcpi_rttvar,tcpi_snd_ssthresh,tcpi_snd_cwnd,tcpi_advmss,tcpi_reordering,tcpi_rcv_rtt,tcpi_rcv_space,tcpi_total_retrans
1,0,0,0,0,7,4,4,580000,0,16384,536,2,0,0,0,0,0,0,24153656,0,16436,32792,163500,105000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,580000,0,16384,536,2,0,0,0,0,52,0,24153708,52,16436,32792,163500,105000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,580000,0,16384,536,2,0,0,0,0,104,0,24153760,104,16436,32792,163500,105000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,580000,0,16384,536,2,0,0,0,0,156,0,24153812,156,16436,32792,163500,105000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,580000,0,16384,536,3,0,0,0,0,44,0,24153860,44,16436,32792,163500,60000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,580000,0,16384,536,3,0,0,0,0,96,0,24153912,96,16436,32792,163500,60000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,580000,0,16384,536,3,0,0,0,0,144,0,24153960,144,16436,32792,163500,60000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,536000,0,16384,536,2,0,0,0,0,36,0,24154012,36,16436,32792,163500,26000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,536000,0,16384,536,2,0,0,0,0,88,0,24154064,88,16436,32792,163500,26000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,536000,0,16384,536,2,0,0,0,0,136,0,24154112,136,16436,32792,163500,26000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,492000,0,16384,536,4,0,0,0,0,28,0,24154164,28,16436,32792,163500,15000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,492000,0,16384,536,4,0,0,0,0,76,0,24154212,76,16436,32792,163500,15000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,492000,0,16384,536,4,0,0,0,0,128,0,24154264,128,16436,32792,163500,15000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,464000,0,16384,536,6,0,0,0,0,16,0,24154316,16,16436,32792,164000,6000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,464000,0,16384,536,6,0,0,0,0,64,0,24154364,64,16436,32792,164000,6000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,464000,0,16384,536,6,0,0,0,0,116,0,24154416,116,16436,32792,164000,6000,26,10,16384,3,0,32792,0
1,0,0,0,0,7,4,4,436000,0,16384,536,5,0,0,0,0,4,0,24154464,4,16436,32792,163500,5000,26,11,16384,3,0,32792,0
1,0,0,0,0,7,4,4,436000,0,16384,536,5,0,0,0,0,56,0,24154516,56,16436,32792,163500,5000,26,11,16384,3,0,32792,0
1,0,0,0,0,7,4,4,436000,0,16384,536,5,0,0,0,0,108,0,24154568,108,16436,32792,163500,5000,26,11,16384,3,0,32792,0
